AAPL,AAPL_VOL,XOM,XOM_VOL,JNJ,JNJ_VOL,JPM,JPM_VOL,PG,PG_VOL,CAT,CAT_VOL
24.1995849609375,190362400,49.85628128051758,14460500,77.00750732421875,8321900,50.00763320922852,18869300,59.967750549316406,9105800,51.06264877319336,5311500
24.17703628540039,131157600,50.1079330444336,13855800,77.86417388916016,5581600,50.11442565917969,12149500,60.46147918701172,9872200,53.543758392333984,9697200
24.488176345825195,130629600,51.74702072143555,15184200,78.45550537109375,5531700,50.91559600830078,12524500,60.70453643798828,8254600,54.7021598815918,7586300
24.357406616210938,54281600,51.19206237792969,5848300,78.6298599243164,2546300,50.816402435302734,4468200,60.60580825805664,2498000,54.302982330322266,2322100
24.084592819213867,106816800,50.811336517333984,9715800,78.25080108642578,4063000,50.64854431152344,6610600,60.70453643798828,4150000,53.67683792114258,3884000
24.51749420166016,123724800,51.08235549926758,8839000,78.8648681640625,4230000,51.17501068115234,9820800,61.03876876831055,4406100,54.15426635742188,3539500
24.197324752807617,100855200,50.40478897094727,9314600,78.67534637451172,3847800,50.80878448486328,7190700,60.8184700012207,3793200,53.76293182373047,3158500
23.73286437988281,163649200,50.30152130126953,10285500,77.87176513671875,4592600,50.38148880004883,14654300,60.31717300415039,5077700,53.19156265258789,4356400
23.753154754638672,270597600,49.985328674316406,20400100,76.17362976074219,12722800,48.86827850341797,25393200,59.52720642089844,11529800,53.21504211425781,8586900
23.157915115356445,223164000,50.41124725341797,11993500,76.49202728271484,6467200,48.95278549194336,16566700,59.71709060668945,8133700,52.659324645996094,6139100
22.70471954345703,273829600,49.991790771484375,18826900,76.10540771484375,7733800,48.24609756469727,22961500,59.13983154296875,9551000,51.82968521118164,6639300
21.746477127075195,324377600,49.19160461425781,21263800,75.2184066772461,9433100,46.2950553894043,27630900,58.62332534790039,11973900,50.04515075683594,8601500
21.861467361450195,283192000,48.19783020019531,19033600,74.41482543945312,9766700,45.258087158203125,22373300,57.704246520996094,9676400,49.53640365600586,8278500
22.2154541015625,198957600,47.552547454833984,21353000,73.96756744384766,8151400,45.18894958496094,20925500,58.235939025878906,10209200,48.11190414428711,9669400
22.53787612915039,196616800,48.52695083618164,21864100,74.47547912597656,6745000,45.28880310058594,22971600,58.11441040039063,8774700,48.21364974975586,8593100
21.958415985107425,249758400,48.81732940673828,26052700,73.55059814453125,8290700,44.04444122314453,28808100,57.61310958862305,9310100,47.657958984375,7237300
22.438671112060547,252680400,51.05654144287109,33806700,74.96825408935547,10164300,44.70502471923828,31296300,57.84098434448242,12835100,48.738059997558594,9241800
21.89980125427246,319335600,50.06277847290039,28342100,73.5354232788086,12662200,43.81400680541992,38131700,56.9522819519043,17023900,47.4463119506836,12674500
21.79382705688477,212350800,49.30131912231445,22684500,73.91447448730469,12457800,43.79095458984375,22818900,58.281517028808594,13457300,46.78061676025391,8501100
21.82314109802246,289337600,47.223426818847656,33300800,72.58779907226562,12685200,42.63875579833984,34646100,58.09994888305664,17795000,46.60626602172852,10857700
21.712661743164062,208646000,47.81709671020508,22265600,72.73188018798828,11266400,42.439056396484375,31301100,58.781829833984375,12712900,47.30366134643555,8798300
22.867061614990234,263202000,49.4110107421875,22530300,73.34591674804688,8380000,43.74486923217773,22732200,59.27221298217773,9465800,48.325965881347656,7815600
22.42064094543457,207178000,47.73967361450195,17086600,73.08060455322266,9350200,42.75399017333984,21114400,58.88144302368164,9870400,45.89302062988281,10971500
22.544641494750977,300308000,49.494903564453125,18724700,76.70427703857422,17266600,43.84473419189453,17535700,60.38317108154297,16374800,46.88363265991211,8141900
21.063304901123047,533478800,48.58502960205078,18106100,77.44720458984375,19330500,43.81400680541992,20560000,60.375518798828125,10816100,46.21795272827149,11013800
21.2143669128418,222715200,49.68204116821289,16157700,77.53062438964844,12789500,43.99835586547852,15497900,61.15702438354492,9895100,48.40521240234375,13567000
21.947141647338867,257666000,50.23699951171875,25161900,79.17568969726562,15614600,45.70358657836914,26992200,62.58979797363281,19895000,49.324501037597656,8221000
21.74197006225586,163774000,49.2303352355957,16754200,79.12261962890625,9803700,45.21199417114258,16807900,62.1530647277832,9657200,49.68905258178711,5955700
21.30230712890625,149428800,48.133296966552734,21404200,78.39485168457031,10616300,43.80632019042969,22448200,61.46350860595703,9116400,48.08029174804688,6282300
21.72393226623535,183857200,50.6435432434082,25873700,78.94824981689453,10168600,44.09820175170898,31543200,62.137725830078125,10149600,50.14077377319336,8332100
21.898481369018555,185886800,51.51470947265625,23658700,78.76631927490234,10389000,44.85865783691406,21651300,61.83126831054688,8295100,52.272560119628906,12598000
21.31361961364746,185672400,51.67603302001953,26719900,76.2191162109375,15522200,44.359371185302734,22001300,62.21436309814453,9957600,52.399356842041016,7463700
21.53804397583008,216085600,52.37297058105469,26601200,77.32592010498047,14323800,43.42993927001953,28267600,63.30232620239258,16530200,51.178932189941406,6315500
21.533506393432617,177324800,52.145057678222656,18418100,77.30316925048828,10044500,43.16876220703125,26300000,63.31768035888672,14308900,50.6638069152832,5638500
21.370288848876957,169374400,51.66970443725586,16610900,77.12124633789062,9833100,42.64644241333008,22389600,62.53615951538086,10585400,49.24525833129883,5955400
